s.no.,P_rain,J_rain,year,date
1,0,0,2023,01-01-2023
2,0,0,2023,02-01-2023
3,0,0,2023,03-01-2023
4,0,0,2023,04-01-2023
5,0,0,2023,05-01-2023
6,0,0,2023,06-01-2023
7,0,0,2023,07-01-2023
8,0,0,2023,08-01-2023
9,0,0,2023,09-01-2023
10,0,0,2023,10-01-2023
11,0,0,2023,11-01-2023
12,0,0,2023,12-01-2023
13,0,0,2023,13-01-2023
14,0,0,2023,14-01-2023
15,0,0,2023,15-01-2023
16,0,0,2023,16-01-2023
17,0.6,0.6,2023,17-01-2023
18,0,0,2023,18-01-2023
19,0,0,2023,19-01-2023
20,0,0,2023,20-01-2023
21,16.8,17.9,2023,21-01-2023
22,0,0,2023,22-01-2023
23,0,0,2023,23-01-2023
24,0,0,2023,24-01-2023
25,0,0,2023,25-01-2023
26,0,0,2023,26-01-2023
27,0,0,2023,27-01-2023
28,0,0,2023,28-01-2023
29,0,0,2023,29-01-2023
30,12.7,12,2023,30-01-2023
31,0,0,2023,31-01-2023
32,0,0,2024,01-01-2024
33,0,0,2024,02-01-2024
34,0,0,2024,03-01-2024
35,0,0,2024,04-01-2024
36,0,0,2024,05-01-2024
37,2.1,2.3,2024,06-01-2024
38,14,15.4,2024,07-01-2024
39,0,0,2024,08-01-2024
40,0,0,2024,09-01-2024
41,0,0,2024,10-01-2024
42,0,0,2024,11-01-2024
43,0,0,2024,12-01-2024
44,13.8,14.6,2024,13-01-2024
45,0,0,2024,14-01-2024
46,0,0,2024,15-01-2024
47,0,0,2024,16-01-2024
48,0,0,2024,17-01-2024
49,0,0,2024,18-01-2024
50,0,0,2024,19-01-2024
51,0,0,2024,20-01-2024
52,0,0,2024,21-01-2024
53,0,0,2024,22-01-2024
54,0,0,2024,23-01-2024
55,0,0,2024,24-01-2024
56,0,0,2024,25-01-2024
57,0,0,2024,26-01-2024
58,0,0,2024,27-01-2024
59,0,0,2024,28-01-2024
60,0,0,2024,29-01-2024
61,0,0,2024,30-01-2024
62,0,0,2024,31-01-2024
